text,label
"Work from home and earn 50,000 per week. Pay registration fee",fake
"Immediate hiring. No skills required. Earn fast money",fake
"Software Engineer role requiring Java and Spring Boot",real
"Data Analyst position with SQL and Power BI skills",real
"Part time job. Investment needed to start",fake
"Backend Developer job at product-based company",real
"Earn money online instantly. Limited slots. Join today",fake
"Looking for Python Developer with experience in Django framework",real
"No interview required. Pay once and get lifetime income",fake
"Hiring Frontend Developer with React and JavaScript skills",real
"Make money from home by just using mobile phone",fake
"Machine Learning Engineer role with strong Python and ML knowledge",real
"Data entry job. Registration fee mandatory",fake
"Software Tester position with manual and automation testing skills",real
"Earn daily income. WhatsApp based job opportunity",fake
"Cloud Engineer position requiring AWS and DevOps experience",real
"Simple typing job. Pay advance to start earning",fake
"Business Analyst role with requirement gathering and SQL skills",real
"Investment based job opportunity with guaranteed returns",fake
"Full Stack Developer job with Node.js and Angular experience",real
"Earn 2000 per day. No experience needed",fake
"Cyber Security Analyst role requiring SIEM and network security skills",real
"Pay joining fee and start earning from day one",fake
"Internship opportunity for Computer Science students with stipend",real
"Online job offer. No documents required",fake
"Data Engineer role with ETL pipelines and Snowflake experience",real
"Quick money scheme. Limited time offer",fake
"Mobile App Developer role with Android and Kotlin experience",real
"Home based job with guaranteed income. Pay setup fee",fake
"AI Research Intern position with deep learning fundamentals",real
"Earn 1 lakh per month by simple online work",fake
"DevOps Engineer role with CI/CD and Kubernetes experience",real
"No skills job. Earn while you sleep",fake
"Junior Java Developer position with OOP knowledge",real
"Work 2 hours daily and earn 60,000 per month",fake
"UI/UX Designer role with Figma and user research experience",real
"Pay processing fee and start high income job",fake
"Data Science role requiring statistics and Python",real
"Earn unlimited money from home. Risk free",fake
"Product Manager role with Agile and stakeholder management",real
"Typing job from mobile. Registration compulsory",fake
"Network Engineer role with routing and switching knowledge",real
"Zero investment job. Earn guaranteed income",fake
"System Administrator role with Linux and server management",real
"Earn money by forwarding messages",fake
"QA Engineer role with Selenium automation skills",real
"Easy job. No resume required. High salary",fake
"Database Administrator role with MySQL and performance tuning",real
"Earn 3000 per day by clicking ads",fake
"AI Engineer role with NLP and deep learning experience",real
"Home based business opportunity. Pay joining amount",fake
"Blockchain Developer role with smart contract experience",real
"Earn passive income without doing anything",fake
"IT Support Engineer role with troubleshooting skills",real
"Earn from home. No interview. Start today",fake
"Software Architect role with system design expertise",real
"Earn fast cash by simple form filling",fake
"Web Developer role with HTML CSS JavaScript experience",real
"Pay once and earn lifetime commission",fake
"Data Visualization role with Power BI and Tableau skills",real
"Guaranteed job offer after payment",fake
"Android Developer role with REST API integration",real
"Earn money using Telegram groups",fake
"Cloud Data Engineer role with BigQuery and Spark",real
"No qualification job. Earn high income",fake
"Python Automation Engineer role with scripting experience",real
"Earn weekly salary from home job",fake
"Information Security Analyst role with risk assessment skills",real
"Work from home business. Investment required",fake
"Graduate Trainee Engineer role for freshers",real
"Earn money by watching videos",fake
"Data Warehouse Engineer role with dimensional modeling",real
"Pay activation fee to unlock job",fake
"Salesforce Developer role with Apex and Lightning experience",real
"Unlimited earning opportunity. Act fast",fake
"Software Intern role with mentoring and project exposure",real
"Online earning job. No office work",fake
"AI Product Analyst role with experimentation skills",real
"Earn income by sharing referral links",fake
"ETL Developer role with data pipeline optimization",real
"Pay security deposit and start job",fake
"Junior Data Analyst role with Excel and SQL knowledge",real
"Easy online job for students. High income",fake
"Research Assistant role with academic data analysis",real